year,global,mod_reg,cause,death_rate
2007,,SEAR LMIC,Self-harm,14.14682
2008,,SEAR LMIC,Self-harm,13.75155
2009,,SEAR LMIC,Self-harm,13.42257
2010,,SEAR LMIC,Self-harm,13.03557
2011,,SEAR LMIC,Self-harm,12.79009
2012,,SEAR LMIC,Self-harm,12.56566
2013,,SEAR LMIC,Self-harm,12.27669
2014,,SEAR LMIC,Self-harm,12.04404
2015,,SEAR LMIC,Self-harm,11.81203
2016,,SEAR LMIC,Self-harm,11.5405
2000,,SEAR LMIC,Drowning,7.48146
2001,,SEAR LMIC,Drowning,7.304423
2002,,SEAR LMIC,Drowning,7.228916
2003,,SEAR LMIC,Drowning,7.285854
2004,,SEAR LMIC,Drowning,7.264579
2005,,SEAR LMIC,Drowning,7.223013
2006,,SEAR LMIC,Drowning,7.248535
2007,,SEAR LMIC,Drowning,7.26275
2008,,SEAR LMIC,Drowning,7.245417
2009,,SEAR LMIC,Drowning,7.192869
2010,,SEAR LMIC,Drowning,7.140742
2011,,SEAR LMIC,Drowning,7.1338
2012,,SEAR LMIC,Drowning,7.143033
2013,,SEAR LMIC,Drowning,7.035316
2014,,SEAR LMIC,Drowning,6.885389
2015,,SEAR LMIC,Drowning,6.783806
2016,,SEAR LMIC,Drowning,6.594646
2000,,SEAR LMIC,Interpersonal violence,7.792864
2001,,SEAR LMIC,Interpersonal violence,7.55112
2002,,SEAR LMIC,Interpersonal violence,7.30437
2003,,SEAR LMIC,Interpersonal violence,6.935777
2004,,SEAR LMIC,Interpersonal violence,6.836633
2005,,SEAR LMIC,Interpersonal violence,6.684567
2006,,SEAR LMIC,Interpersonal violence,6.594213
2007,,SEAR LMIC,Interpersonal violence,6.375839
2008,,SEAR LMIC,Interpersonal violence,6.176485
2009,,SEAR LMIC,Interpersonal violence,5.929561
2010,,SEAR LMIC,Interpersonal violence,5.790108
2011,,SEAR LMIC,Interpersonal violence,5.731369
2012,,SEAR LMIC,Interpersonal violence,5.574811
2013,,SEAR LMIC,Interpersonal violence,5.413779
2014,,SEAR LMIC,Interpersonal violence,5.298909
2015,,SEAR LMIC,Interpersonal violence,5.220727
2016,,SEAR LMIC,Interpersonal violence,5.120996
2000,,SEAR LMIC,Tuberculosis,10.71356
2001,,SEAR LMIC,Tuberculosis,10.325
2002,,SEAR LMIC,Tuberculosis,9.831678
2003,,SEAR LMIC,Tuberculosis,9.297978
2004,,SEAR LMIC,Tuberculosis,8.792195
2005,,SEAR LMIC,Tuberculosis,8.269011
2006,,SEAR LMIC,Tuberculosis,7.765925
2007,,SEAR LMIC,Tuberculosis,7.2229
2008,,SEAR LMIC,Tuberculosis,6.813845
2009,,SEAR LMIC,Tuberculosis,6.338117
2010,,SEAR LMIC,Tuberculosis,5.885126
2011,,SEAR LMIC,Tuberculosis,5.478899
2012,,SEAR LMIC,Tuberculosis,5.07955
2013,,SEAR LMIC,Tuberculosis,4.736006
2014,,SEAR LMIC,Tuberculosis,4.399529
2015,,SEAR LMIC,Tuberculosis,4.104594
2016,,SEAR LMIC,Tuberculosis,3.849423
2000,,WPR LMIC,Road injury,22.37762
2001,,WPR LMIC,Road injury,21.76389
2002,,WPR LMIC,Road injury,20.9146
2003,,WPR LMIC,Road injury,19.92415
2004,,WPR LMIC,Road injury,19.01441
2005,,WPR LMIC,Road injury,18.90989
2006,,WPR LMIC,Road injury,18.70472
2007,,WPR LMIC,Road injury,18.57026
2008,,WPR LMIC,Road injury,17.88935
2009,,WPR LMIC,Road injury,17.42622
2010,,WPR LMIC,Road injury,17.01141
2011,,WPR LMIC,Road injury,17.17206
2012,,WPR LMIC,Road injury,16.43756
2013,,WPR LMIC,Road injury,16.02078
2014,,WPR LMIC,Road injury,15.57552
2015,,WPR LMIC,Road injury,15.3039
2016,,WPR LMIC,Road injury,15.16097
2000,,WPR LMIC,Self-harm,5.22051
2001,,WPR LMIC,Self-harm,4.417874
2002,,WPR LMIC,Self-harm,3.898869
2003,,WPR LMIC,Self-harm,3.683419
2004,,WPR LMIC,Self-harm,3.614974
2005,,WPR LMIC,Self-harm,3.456311
2006,,WPR LMIC,Self-harm,3.337564
2007,,WPR LMIC,Self-harm,3.31331
2008,,WPR LMIC,Self-harm,3.210496
2009,,WPR LMIC,Self-harm,3.20177
2010,,WPR LMIC,Self-harm,3.095858
2011,,WPR LMIC,Self-harm,3.03617
2012,,WPR LMIC,Self-harm,3.013163
2013,,WPR LMIC,Self-harm,3.029797
2014,,WPR LMIC,Self-harm,3.064408
2015,,WPR LMIC,Self-harm,3.019203
2016,,WPR LMIC,Self-harm,2.951694
2000,,WPR LMIC,Drowning,8.128336
2001,,WPR LMIC,Drowning,7.247486
2002,,WPR LMIC,Drowning,6.62184
2003,,WPR LMIC,Drowning,6.189342
2004,,WPR LMIC,Drowning,6.013834
2005,,WPR LMIC,Drowning,5.784156
2006,,WPR LMIC,Drowning,5.531868
2007,,WPR LMIC,Drowning,5.473286
2008,,WPR LMIC,Drowning,5.493696
2009,,WPR LMIC,Drowning,5.380148
2010,,WPR LMIC,Drowning,5.29807
2011,,WPR LMIC,Drowning,5.175438
2012,,WPR LMIC,Drowning,5.216517
2013,,WPR LMIC,Drowning,5.244665
2014,,WPR LMIC,Drowning,5.30047
2015,,WPR LMIC,Drowning,5.254685
2016,,WPR LMIC,Drowning,5.115404
2000,,WPR LMIC,Interpersonal violence,4.71881
2001,,WPR LMIC,Interpersonal violence,4.529306
2002,,WPR LMIC,Interpersonal violence,4.056839
2003,,WPR LMIC,Interpersonal violence,3.786058
2004,,WPR LMIC,Interpersonal violence,3.56648
2005,,WPR LMIC,Interpersonal violence,3.489496
2006,,WPR LMIC,Interpersonal violence,3.378126
2007,,WPR LMIC,Interpersonal violence,3.44993
2008,,WPR LMIC,Interpersonal violence,3.353641
2009,,WPR LMIC,Interpersonal violence,3.266469
2010,,WPR LMIC,Interpersonal violence,3.182443
2011,,WPR LMIC,Interpersonal violence,3.090531
2012,,WPR LMIC,Interpersonal violence,3.247734
2013,,WPR LMIC,Interpersonal violence,3.171167
2014,,WPR LMIC,Interpersonal violence,3.22024
2015,,WPR LMIC,Interpersonal violence,3.19996
2016,,WPR LMIC,Interpersonal violence,3.149622
2000,,WPR LMIC,Leukaemia,3.859953
2001,,WPR LMIC,Leukaemia,3.704163
2002,,WPR LMIC,Leukaemia,3.599382
2003,,WPR LMIC,Leukaemia,3.586378
2004,,WPR LMIC,Leukaemia,3.537217
2005,,WPR LMIC,Leukaemia,3.397384
2006,,WPR LMIC,Leukaemia,3.307849
2007,,WPR LMIC,Leukaemia,3.153842
2008,,WPR LMIC,Leukaemia,3.072215
2009,,WPR LMIC,Leukaemia,2.995874
2010,,WPR LMIC,Leukaemia,2.902547
2011,,WPR LMIC,Leukaemia,2.822408
2012,,WPR LMIC,Leukaemia,2.703921
2013,,WPR LMIC,Leukaemia,2.582927
2014,,WPR LMIC,Leukaemia,2.488295
2015,,WPR LMIC,Leukaemia,2.489715
2016,,WPR LMIC,Leukaemia,2.512214
